Region,District,Constituency,Sub County,Parish,village
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,OMOO WEST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,BARLYECH,ADIOCAI
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,BARLYECH,OTHEN
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,BARLYECH,PAMO
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,BARLYECH,AROO
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,BARLYECH,BARLYECH CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,BARLYECH,BARLYECH WEST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,BARLYECH,BARLYECH
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,BARLYECH,OPOKOLOBO
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,AGWENG EAST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,AGWENG WEST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,AYWEE
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,OBANGANGEO
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,OMORU EAST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,OMORU WEST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,OPEIDUKANITH
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,ORINGOWELLO
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,UMLONGE
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,UMLONGE EAST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ANGOLEBWAL,UMLONGE WEST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ADEA,ADEA CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ADEA,ALIR
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ADEA,AYEYE
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ADEA,ABWOLOIT
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ADEA,ADEA TRADING CENTRE
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,ADEA,ADEA WEST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK EAST,ARENGEPUA SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK EAST,ARENGEPUA NORTH
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK EAST,GULONGER EAST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK EAST,GULONGER WEST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK EAST,KATABOK CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK EAST,KATABOK EAST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK EAST,KATABOK TRADING CENTRE
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK EAST,KATABOK WEST
